,,,Struggling Index,Suffering Index,Thriving Index,Health Problems,,,,Count On to Help,,,,Experience Calmness Yesterday,,,,Feel at Peace With Life,,,,Exciting Life or Calm Life,,,,,,Various Aspects of Life in Balance,,,,Main Purpose in Life,,,,,,,Focus on Taking Care of Themselves or Taking Care of Others,,,,,,Enjoy the Work You Do Every Day,,,,Work Significantly Improves the Lives of Others Outside of Household,,,,Many Choices in Type of Work,,,
,,Employed full time for self,37.60%,1.80%,60.60%,15.10%,84.90%,0.00%,0.00%,96.10%,3.90%,0.00%,0.00%,73.50%,26.50%,0.00%,0.00%,87.00%,13.00%,0.00%,0.00%,20.10%,70.70%,7.60%,0.00%,1.60%,0.00%,77.90%,22.10%,0.00%,0.00%,44.10%,39.90%,14.20%,0.00%,0.00%,0.00%,1.80%,51.90%,43.60%,4.50%,0.00%,0.00%,0.00%,91.00%,9.00%,0.00%,0.00%,88.10%,11.90%,0.00%,0.00%,85.70%,14.30%,0.00%,0.00%
,,Employed part time do not want full time,38.80%,0.00%,61.20%,16.10%,83.90%,0.00%,0.00%,97.50%,2.50%,0.00%,0.00%,83.00%,17.00%,0.00%,0.00%,97.80%,2.20%,0.00%,0.00%,18.20%,79.40%,2.30%,0.00%,0.00%,0.00%,80.50%,19.50%,0.00%,0.00%,23.40%,61.30%,15.30%,0.00%,0.00%,0.00%,0.00%,43.40%,49.40%,7.20%,0.00%,0.00%,0.00%,88.60%,11.40%,0.00%,0.00%,86.60%,12.60%,0.80%,0.00%,71.00%,29.00%,0.00%,0.00%
,,Unemployed,45.90%,11.50%,42.60%,19.30%,80.70%,0.00%,0.00%,74.30%,25.70%,0.00%,0.00%,54.60%,45.40%,0.00%,0.00%,66.60%,33.40%,0.00%,0.00%,42.90%,45.20%,10.90%,0.00%,1.00%,0.00%,63.60%,36.40%,0.00%,0.00%,25.50%,48.90%,21.40%,4.20%,0.00%,0.00%,0.00%,51.60%,39.80%,8.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,Employed part time want full time,50.10%,13.90%,36.00%,17.40%,82.60%,0.00%,0.00%,89.40%,10.60%,0.00%,0.00%,79.10%,20.90%,0.00%,0.00%,74.80%,25.20%,0.00%,0.00%,14.30%,85.70%,0.00%,0.00%,0.00%,0.00%,53.20%,41.40%,5.40%,0.00%,32.90%,27.30%,39.80%,0.00%,0.00%,0.00%,0.00%,47.30%,49.80%,2.90%,0.00%,0.00%,0.00%,84.60%,14.60%,0.00%,0.80%,75.60%,24.40%,0.00%,0.00%,66.60%,33.40%,0.00%,0.00%
,,Out of workforce,46.40%,2.40%,51.20%,26.80%,72.90%,0.10%,0.20%,94.70%,4.70%,0.50%,0.00%,82.50%,17.40%,0.10%,0.00%,88.00%,12.00%,0.00%,0.00%,16.20%,80.50%,2.90%,0.50%,0.00%,0.00%,77.40%,22.60%,0.00%,0.00%,26.60%,55.60%,16.50%,0.70%,0.00%,0.40%,0.30%,52.90%,38.00%,8.90%,0.00%,0.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,Per Capita Income Quintiles,Poorest 20%,43.80%,10.10%,46.10%,33.00%,67.00%,0.00%,0.00%,86.90%,13.10%,0.00%,0.00%,77.00%,23.00%,0.00%,0.00%,78.90%,21.10%,0.00%,0.00%,20.80%,71.80%,7.40%,0.00%,0.00%,0.00%,65.10%,34.90%,0.00%,0.00%,19.60%,50.20%,28.70%,1.50%,0.00%,0.00%,0.00%,59.50%,32.80%,7.70%,0.00%,0.00%,0.00%,83.00%,17.00%,0.00%,0.00%,79.30%,20.70%,0.00%,0.00%,72.60%,27.40%,0.00%,0.00%
,,Second 20%,47.20%,3.10%,49.80%,20.50%,79.50%,0.00%,0.00%,94.20%,5.80%,0.00%,0.00%,74.30%,24.70%,0.30%,0.70%,88.10%,11.20%,0.00%,0.70%,19.50%,78.20%,1.60%,0.00%,0.00%,0.70%,74.30%,25.00%,0.00%,0.70%,31.10%,55.60%,12.70%,0.00%,0.00%,0.00%,0.70%,54.10%,38.70%,6.30%,0.30%,0.00%,0.70%,88.20%,10.20%,0.00%,1.70%,85.30%,13.40%,0.00%,1.30%,74.10%,24.60%,0.00%,1.30%
,,Middle 20%,45.60%,0.80%,53.60%,11.20%,88.30%,0.00%,0.50%,96.00%,4.00%,0.00%,0.00%,79.90%,20.10%,0.00%,0.00%,91.00%,9.00%,0.00%,0.00%,21.10%,78.10%,0.80%,0.00%,0.00%,0.00%,76.70%,21.70%,1.50%,0.00%,22.50%,54.30%,22.10%,0.00%,0.00%,0.60%,0.40%,44.10%,48.40%,7.10%,0.20%,0.20%,0.00%,82.70%,17.30%,0.00%,0.00%,87.00%,13.00%,0.00%,0.00%,75.40%,24.60%,0.00%,0.00%
,,Fourth 20%,40.40%,1.20%,58.30%,14.40%,85.60%,0.00%,0.00%,98.00%,2.00%,0.00%,0.00%,79.80%,20.20%,0.00%,0.00%,89.70%,10.30%,0.00%,0.00%,17.70%,79.20%,2.50%,0.40%,0.30%,0.00%,77.50%,22.50%,0.00%,0.00%,32.90%,50.80%,15.90%,0.20%,0.00%,0.00%,0.20%,52.00%,44.30%,3.60%,0.00%,0.20%,0.00%,89.60%,10.40%,0.00%,0.00%,86.70%,13.30%,0.00%,0.00%,82.30%,17.70%,0.00%,0.00%
,,Richest 20%,29.40%,0.00%,70.60%,8.90%,90.90%,0.20%,0.00%,92.50%,6.40%,1.10%,0.00%,84.10%,15.90%,0.00%,0.00%,93.50%,6.50%,0.00%,0.00%,29.00%,69.10%,0.70%,0.80%,0.40%,0.00%,80.90%,19.10%,0.00%,0.00%,37.10%,46.70%,14.60%,1.00%,0.00%,0.20%,0.40%,49.30%,45.80%,4.10%,0.70%,0.00%,0.00%,84.20%,15.80%,0.00%,0.00%,83.00%,16.70%,0.30%,0.00%,79.40%,20.60%,0.00%,0.00%
,Feelings About Household Income,Living comfortably on present income,33.10%,0.20%,66.70%,12.70%,87.20%,0.10%,0.00%,98.20%,1.50%,0.30%,0.00%,84.40%,15.60%,0.00%,0.00%,95.20%,4.80%,0.00%,0.00%,24.90%,73.40%,1.10%,0.40%,0.10%,0.00%,84.80%,15.20%,0.00%,0.00%,32.20%,52.10%,14.80%,0.50%,0.00%,0.10%,0.30%,49.80%,44.70%,4.90%,0.50%,0.20%,0.00%,89.00%,11.00%,0.00%,0.00%,86.70%,13.20%,0.10%,0.00%,83.60%,16.40%,0.00%,0.00%
,,Getting by on present income,45.20%,2.50%,52.20%,16.20%,83.50%,0.00%,0.30%,92.70%,7.20%,0.10%,0.00%,75.50%,24.50%,0.00%,0.00%,90.10%,9.90%,0.00%,0.00%,15.80%,82.20%,1.70%,0.10%,0.20%,0.00%,74.80%,25.20%,0.00%,0.00%,25.40%,53.10%,20.80%,0.30%,0.00%,0.40%,0.00%,55.10%,39.10%,5.80%,0.00%,0.00%,0.00%,83.30%,16.70%,0.00%,0.00%,87.50%,12.50%,0.00%,0.00%,75.70%,24.30%,0.00%,0.00%
,,Finding it difficult on present income,60.60%,10.00%,29.30%,26.70%,73.30%,0.00%,0.00%,92.10%,7.90%,0.00%,0.00%,76.30%,23.70%,0.00%,0.00%,67.50%,32.50%,0.00%,0.00%,20.80%,74.30%,4.90%,0.00%,0.00%,0.00%,48.50%,48.50%,3.00%,0.00%,32.40%,44.10%,20.90%,2.20%,0.00%,0.00%,0.40%,44.50%,51.50%,3.90%,0.00%,0.00%,0.00%,76.10%,23.10%,0.00%,0.80%,76.70%,23.30%,0.00%,0.00%,52.30%,47.70%,0.00%,0.00%
,,Finding it very difficult on present income,58.00%,18.80%,23.10%,51.20%,48.80%,0.00%,0.00%,61.20%,38.80%,0.00%,0.00%,59.00%,40.10%,0.90%,0.00%,56.90%,43.10%,0.00%,0.00%,26.00%,58.30%,15.60%,0.00%,0.00%,0.00%,37.70%,62.30%,0.00%,0.00%,9.20%,52.40%,38.40%,0.00%,0.00%,0.00%,0.00%,62.70%,21.70%,15.60%,0.00%,0.00%,0.00%,88.40%,11.60%,0.00%,0.00%,50.50%,49.50%,0.00%,0.00%,68.70%,31.30%,0.00%,0.00%
,Urban/Rural,A rural area or on a farm,40.10%,3.10%,56.90%,19.70%,79.80%,0.00%,0.50%,94.80%,5.20%,0.00%,0.00%,81.60%,18.40%,0.00%,0.00%,89.50%,10.50%,0.00%,0.00%,19.00%,77.90%,3.10%,0.00%,0.00%,0.00%,71.50%,26.80%,1.70%,0.00%,27.90%,55.00%,15.40%,0.80%,0.00%,0.70%,0.20%,50.90%,40.90%,7.80%,0.20%,0.30%,0.00%,83.80%,16.20%,0.00%,0.00%,87.90%,12.10%,0.00%,0.00%,77.30%,22.70%,0.00%,0.00%
,,A small town or villAge,39.70%,1.40%,58.90%,14.90%,84.90%,0.20%,0.00%,97.00%,3.00%,0.00%,0.00%,75.90%,23.30%,0.20%,0.60%,92.20%,7.30%,0.00%,0.60%,17.80%,80.10%,1.30%,0.00%,0.20%,0.60%,83.00%,16.50%,0.00%,0.60%,33.00%,53.90%,12.00%,0.00%,0.00%,0.20%,0.90%,56.10%,36.90%,6.10%,0.20%,0.20%,0.60%,89.00%,10.00%,0.00%,1.00%,85.50%,13.50%,0.00%,1.00%,75.80%,23.20%,0.00%,1.00%
,,A large city,44.80%,4.50%,50.70%,19.20%,80.80%,0.00%,0.00%,92.40%,7.60%,0.00%,0.00%,78.40%,21.60%,0.00%,0.00%,86.00%,14.00%,0.00%,0.00%,25.70%,69.60%,4.70%,0.00%,0.00%,0.00%,70.90%,29.10%,0.00%,0.00%,26.80%,44.80%,26.60%,1.50%,0.00%,0.00%,0.30%,58.00%,36.10%,5.20%,0.60%,0.00%,0.00%,83.70%,16.30%,0.00%,0.00%,83.60%,16.10%,0.30%,0.00%,77.30%,22.70%,0.00%,0.00%
,,A suburb of a large city,40.20%,3.20%,56.50%,17.20%,82.80%,0.00%,0.00%,90.90%,8.50%,0.70%,0.00%,80.40%,19.60%,0.00%,0.00%,86.20%,13.80%,0.00%,0.00%,22.80%,74.50%,1.70%,0.70%,0.20%,0.00%,73.60%,26.40%,0.00%,0.00%,26.50%,53.10%,20.30%,0.10%,0.00%,0.00%,0.00%,45.00%,50.10%,4.90%,0.00%,0.00%,0.00%,84.70%,15.10%,0.00%,0.20%,82.70%,17.30%,0.00%,0.00%,77.10%,22.90%,0.00%,0.00%
Egypt,Age,15-24,67.80%,14.60%,17.60%,9.90%,90.10%,0.00%,0.00%,80.60%,18.00%,1.40%,0.00%,66.30%,32.40%,1.30%,0.00%,77.90%,22.10%,0.00%,0.00%,19.90%,73.70%,5.60%,0.50%,0.20%,0.00%,62.00%,34.90%,3.10%,0.00%,33.70%,38.80%,25.00%,2.20%,0.20%,0.10%,0.00%,45.30%,31.80%,21.50%,0.00%,1.40%,0.00%,77.90%,22.10%,0.00%,0.00%,69.40%,30.40%,0.30%,0.00%,57.20%,42.80%,0.00%,0.00%
,,25-34,54.00%,30.10%,15.90%,16.40%,83.60%,0.00%,0.00%,66.90%,32.40%,0.70%,0.00%,65.20%,34.80%,0.00%,0.00%,76.60%,20.60%,2.40%,0.30%,9.60%,86.90%,1.80%,0.00%,1.60%,0.00%,57.40%,37.90%,4.70%,0.00%,22.60%,54.70%,22.40%,0.30%,0.00%,0.00%,0.00%,50.50%,22.60%,25.40%,0.00%,1.50%,0.00%,69.00%,30.50%,0.50%,0.00%,68.80%,30.20%,1.00%,0.00%,45.50%,51.20%,3.30%,0.00%
,,35-44,63.90%,21.20%,14.80%,29.40%,70.60%,0.00%,0.00%,59.30%,40.70%,0.00%,0.00%,73.30%,26.70%,0.00%,0.00%,88.40%,11.40%,0.20%,0.00%,4.60%,93.80%,1.60%,0.00%,0.00%,0.00%,69.00%,30.30%,0.70%,0.00%,14.80%,62.40%,20.70%,0.00%,2.20%,0.00%,0.00%,54.80%,31.50%,13.30%,0.00%,0.30%,0.00%,90.60%,9.10%,0.30%,0.00%,76.20%,23.50%,0.30%,0.00%,57.90%,41.70%,0.30%,0.00%
,,45-64,59.10%,19.00%,21.90%,51.10%,48.90%,0.00%,0.00%,59.40%,40.40%,0.20%,0.00%,70.80%,28.90%,0.30%,0.00%,90.30%,9.60%,0.20%,0.00%,1.30%,96.70%,2.00%,0.00%,0.00%,0.00%,76.30%,23.70%,0.00%,0.00%,11.50%,56.90%,30.00%,0.00%,1.60%,0.00%,0.00%,39.80%,34.20%,26.00%,0.00%,0.00%,0.00%,87.80%,12.20%,0.00%,0.00%,92.40%,7.60%,0.00%,0.00%,60.60%,39.40%,0.00%,0.00%
,,65+,71.50%,0.00%,28.50%,46.30%,53.70%,0.00%,0.00%,43.90%,56.10%,0.00%,0.00%,81.80%,18.20%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,6.20%,93.80%,0.00%,0.00%,0.00%,0.00%,93.80%,6.20%,0.00%,0.00%,12.40%,46.20%,41.40%,0.00%,0.00%,0.00%,0.00%,24.60%,40.90%,34.50%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
,Gender,Male,58.80%,24.60%,16.50%,18.70%,81.30%,0.00%,0.00%,64.70%,34.50%,0.80%,0.00%,73.20%,26.10%,0.70%,0.00%,83.30%,16.20%,0.30%,0.10%,11.50%,84.70%,3.00%,0.00%,0.90%,0.00%,62.60%,35.10%,2.40%,0.00%,22.80%,51.20%,24.00%,1.20%,0.70%,0.10%,0.00%,47.10%,32.70%,19.40%,0.00%,0.80%,0.00%,80.70%,19.10%,0.30%,0.00%,73.90%,25.50%,0.60%,0.00%,56.00%,42.70%,1.30%,0.00%
,,Female,65.40%,15.10%,19.50%,35.10%,64.90%,0.00%,0.00%,69.50%,30.10%,0.30%,0.00%,63.60%,36.20%,0.20%,0.00%,83.00%,15.80%,1.10%,0.00%,7.00%,90.00%,2.70%,0.30%,0.00%,0.00%,71.00%,26.90%,2.00%,0.00%,19.40%,53.20%,26.20%,0.00%,1.10%,0.00%,0.00%,46.40%,27.20%,25.60%,0.00%,0.90%,0.00%,79.90%,20.10%,0.00%,0.00%,83.40%,16.60%,0.00%,0.00%,49.10%,50.90%,0.00%,0.00%
,Employment Status,Employed full time for an employer,58.70%,25.20%,16.10%,23.10%,76.90%,0.00%,0.00%,68.90%,31.10%,0.00%,0.00%,70.90%,28.90%,0.10%,0.00%,83.20%,16.10%,0.80%,0.00%,7.20%,87.60%,5.10%,0.00%,0.00%,0.00%,61.00%,37.80%,1.30%,0.00%,20.60%,59.30%,17.50%,1.10%,1.40%,0.10%,0.00%,47.20%,32.80%,20.00%,0.00%,0.00%,0.00%,79.60%,20.30%,0.10%,0.00%,76.60%,23.10%,0.30%,0.00%,49.80%,48.60%,1.60%,0.00%
,,Employed full time for self,67.60%,15.20%,17.10%,17.10%,82.90%,0.00%,0.00%,71.00%,25.50%,3.50%,0.00%,70.70%,29.30%,0.00%,0.00%,86.40%,12.20%,0.70%,0.70%,7.10%,90.10%,1.90%,0.00%,0.90%,0.00%,71.50%,20.50%,8.00%,0.00%,23.10%,50.70%,22.70%,3.50%,0.00%,0.00%,0.00%,53.50%,28.10%,18.30%,0.00%,0.00%,0.00%,87.10%,12.30%,0.60%,0.00%,73.50%,25.20%,1.30%,0.00%,66.00%,33.40%,0.60%,0.00%
,,Employed part time do not want full time,62.40%,4.10%,33.50%,13.00%,87.00%,0.00%,0.00%,70.60%,29.40%,0.00%,0.00%,74.80%,25.20%,0.00%,0.00%,81.70%,16.20%,2.20%,0.00%,1.80%,96.00%,2.20%,0.00%,0.00%,0.00%,75.70%,24.30%,0.00%,0.00%,50.40%,32.70%,13.30%,0.00%,3.60%,0.00%,0.00%,74.00%,20.40%,5.50%,0.00%,0.00%,0.00%,77.30%,22.70%,0.00%,0.00%,65.20%,34.80%,0.00%,0.00%,66.00%,34.00%,0.00%,0.00%
,,Unemployed,69.20%,24.80%,6.00%,22.10%,77.90%,0.00%,0.00%,47.50%,52.50%,0.00%,0.00%,73.90%,26.10%,0.00%,0.00%,80.60%,19.40%,0.00%,0.00%,14.90%,82.40%,2.70%,0.00%,0.00%,0.00%,49.20%,49.00%,1.80%,0.00%,20.20%,59.00%,20.80%,0.00%,0.00%,0.00%,0.00%,48.40%,32.20%,19.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,Employed part time want full time,57.70%,31.60%,10.60%,29.20%,70.80%,0.00%,0.00%,51.30%,47.40%,1.20%,0.00%,69.40%,24.70%,5.90%,0.00%,66.70%,33.30%,0.00%,0.00%,8.70%,89.40%,1.90%,0.00%,0.00%,0.00%,61.10%,38.90%,0.00%,0.00%,26.60%,51.30%,22.10%,0.00%,0.00%,0.00%,0.00%,27.00%,30.00%,42.90%,0.00%,0.00%,0.00%,74.10%,25.90%,0.00%,0.00%,78.70%,21.30%,0.00%,0.00%,52.20%,47.80%,0.00%,0.00%
,,Out of workforce,60.50%,16.40%,23.00%,31.80%,68.20%,0.00%,0.00%,72.60%,27.10%,0.30%,0.00%,65.20%,34.70%,0.10%,0.00%,85.70%,13.40%,0.90%,0.00%,10.30%,86.60%,1.90%,0.30%,0.90%,0.00%,74.20%,23.90%,1.80%,0.00%,19.40%,46.80%,32.70%,0.00%,1.10%,0.00%,0.00%,45.90%,29.00%,23.10%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,Per Capita Income Quintiles,Poorest 20%,45.50%,45.40%,9.10%,35.20%,64.80%,0.00%,0.00%,49.60%,50.10%,0.20%,0.00%,64.10%,34.10%,1.80%,0.00%,76.80%,23.20%,0.00%,0.00%,8.00%,86.30%,3.80%,0.00%,1.90%,0.00%,60.90%,36.70%,2.50%,0.00%,15.60%,55.70%,26.80%,0.00%,1.90%,0.00%,0.00%,39.20%,40.30%,18.60%,0.00%,1.90%,0.00%,66.30%,32.90%,0.80%,0.00%,67.80%,31.40%,0.80%,0.00%,40.80%,58.40%,0.80%,0.00%
,,Second 20%,70.50%,19.20%,10.20%,27.70%,72.30%,0.00%,0.00%,61.30%,36.80%,1.90%,0.00%,65.00%,34.80%,0.20%,0.00%,77.60%,22.40%,0.00%,0.00%,6.90%,90.40%,2.00%,0.70%,0.00%,0.00%,61.00%,35.30%,3.70%,0.00%,23.10%,50.60%,23.70%,1.90%,0.60%,0.00%,0.00%,46.90%,25.20%,27.50%,0.00%,0.40%,0.00%,89.90%,9.60%,0.50%,0.00%,80.40%,19.60%,0.00%,0.00%,68.50%,31.50%,0.00%,0.00%
,,Middle 20%,62.40%,18.80%,18.80%,25.90%,74.10%,0.00%,0.00%,61.40%,37.90%,0.70%,0.00%,69.30%,30.70%,0.00%,0.00%,87.30%,12.00%,0.70%,0.00%,7.00%,90.80%,2.20%,0.00%,0.00%,0.00%,67.70%,31.20%,1.10%,0.00%,14.20%,61.60%,22.60%,0.00%,1.60%,0.00%,0.00%,48.40%,30.30%,21.40%,0.00%,0.00%,0.00%,81.10%,18.90%,0.00%,0.00%,73.30%,26.30%,0.40%,0.00%,47.50%,48.70%,3.80%,0.00%
,,Fourth 20%,65.70%,13.90%,20.30%,23.20%,76.80%,0.00%,0.00%,76.90%,23.10%,0.00%,0.00%,69.80%,30.00%,0.20%,0.00%,82.90%,15.00%,2.10%,0.00%,11.10%,86.00%,2.70%,0.00%,0.20%,0.00%,65.20%,31.90%,2.90%,0.00%,20.00%,48.30%,30.00%,1.50%,0.00%,0.10%,0.00%,50.30%,26.10%,21.70%,0.00%,1.90%,0.00%,76.60%,23.40%,0.00%,0.00%,79.40%,20.20%,0.30%,0.00%,55.80%,44.20%,0.00%,0.00%
,,Richest 20%,62.50%,8.90%,28.60%,18.70%,81.30%,0.00%,0.00%,84.90%,15.00%,0.10%,0.00%,76.20%,23.80%,0.00%,0.00%,91.30%,7.60%,0.70%,0.40%,14.10%,81.90%,3.60%,0.00%,0.30%,0.00%,77.20%,21.90%,0.90%,0.00%,33.20%,44.60%,21.90%,0.00%,0.30%,0.00%,0.00%,48.90%,29.40%,21.70%,0.00%,0.00%,0.00%,87.10%,12.90%,0.00%,0.00%,77.20%,22.10%,0.80%,0.00%,60.40%,39.20%,0.40%,0.00%
,Feelings About Household Income,Living comfortably on present income,55.40%,1.40%,43.20%,18.10%,81.90%,0.00%,0.00%,84.90%,15.10%,0.00%,0.00%,77.70%,22.30%,0.00%,0.00%,92.60%,5.20%,1.40%,0.70%,21.20%,71.80%,6.40%,0.00%,0.60%,0.00%,87.70%,11.20%,1.10%,0.00%,37.10%,37.60%,25.40%,0.00%,0.00%,0.00%,0.00%,43.80%,40.90%,15.20%,0.00%,0.00%,0.00%,90.50%,9.50%,0.00%,0.00%,74.40%,24.20%,1.40%,0.00%,67.90%,32.10%,0.00%,0.00%
,,Getting by on present income,65.10%,12.80%,22.10%,20.30%,79.70%,0.00%,0.00%,74.70%,25.30%,0.10%,0.00%,72.90%,26.90%,0.20%,0.00%,89.00%,9.70%,1.20%,0.00%,9.10%,85.80%,3.90%,0.30%,0.90%,0.00%,74.90%,22.20%,2.90%,0.00%,22.70%,49.30%,27.80%,0.00%,0.10%,0.10%,0.00%,47.30%,29.60%,21.20%,0.00%,2.00%,0.00%,85.90%,14.10%,0.00%,0.00%,75.20%,24.50%,0.30%,0.00%,59.70%,40.10%,0.20%,0.00%
